============================================================
 DeadZone Device Image Audit Report
 Generated: 2026-06-29T19:43:18.843Z
============================================================

--- Summary ---
total supported device records: 172
source entries: 215
unique codenames: 172
duplicate codenames: 0
duplicate codenames merged: 9
verified image count: 138
placeholder count: 34
broken image files: 0
unused image files: 26
devices without codename: 0
missing mapped image files: 0

--- Per-Device Detail ---
codename | name | aliases | category | image path | status
kunzite | Redmi Note 15 5G |  | Redmi | /devices/kunzite.webp | verified
charoite | Redmi Note 15 Pro 4G |  | Redmi | public/devices/charoite.webp | missing
lapis | Redmi Note 15 Pro 5G |  | Redmi | /devices/lapis.webp | verified
flourite | Redmi Note 15 Pro+ 5G |  | Redmi | /devices/flourite.webp | verified
tanzanite | Redmi Note 14 4G |  | Redmi | public/devices/tanzanite.webp | missing
beryl | Redmi Note 14 5G | POCO M7 Pro 5G | Redmi | /devices/beryl.webp | verified
emerald-r | Redmi Note 14S 4G |  | Redmi | /devices/emerald-r.webp | verified
obsidian | Redmi Note 14 Pro 4G |  | Redmi | public/devices/obsidian.webp | missing
malachite | Redmi Note 14 Pro 5G | POCO X7 | Redmi | /devices/malachite.webp | verified
amethyst | Redmi Note 14 Pro+ 5G |  | Redmi | /devices/amethyst.webp | verified
sapphire | Redmi Note 13 4G |  | Redmi | /devices/sapphire.webp | verified
sapphiren | Redmi Note 13 NFC 4G |  | Redmi | /devices/sapphiren.webp | verified
gold | Redmi Note 13 5G | POCO X6 Neo 5G | Redmi | /devices/gold.webp | verified
emerald | Redmi Note 13 Pro 4G | POCO M6 Pro 4G | Redmi | /devices/emerald.webp | verified
garnet | Redmi Note 13 Pro 5G | POCO X6 5G | Redmi | /devices/garnet.webp | verified
zircon | Redmi Note 13 Pro+ 5G |  | Redmi | /devices/zircon.webp | verified
tapas | Redmi Note 12 4G |  | Redmi | /devices/tapas.webp | verified
topaz | Redmi Note 12 4G NFC |  | Redmi | /devices/topaz.webp | verified
sunstone | Redmi Note 12 5G |  | Redmi | /devices/sunstone.webp | verified
sea | Redmi Note 12S |  | Redmi | /devices/sea.webp | verified
ruby | Redmi Note 12 Pro | Redmi Note 12 Pro+ 5G | Redmi | /devices/ruby.webp | verified
redwood | Redmi Note 12 Pro Speed | POCO X5 Pro 5G | Redmi | /devices/redwood.webp | verified
marble | Redmi Note 12 Turbo | POCO F5 | Redmi | /devices/marble.webp | verified
pearl | Redmi Note 12T Pro |  | Redmi | /devices/pearl.webp | verified
spes | Redmi Note 11 |  | Redmi | /devices/spes.webp | verified
selenes | Redmi Note 11 4G |  | Redmi | /devices/selenes.webp | verified
evergo | Redmi Note 11 5G |  | Redmi | public/devices/evergo.webp | missing
viva | Redmi Note 11 Pro 4G |  | Redmi | /devices/viva.webp | verified
veux | Redmi Note 11 Pro 5G | POCO X4 Pro 5G | Redmi | public/devices/veux.webp | missing
pissarro | Redmi Note 11 Pro+ 5G |  | Redmi | /devices/pissarro.webp | verified
fleur | Redmi Note 11S | POCO M4 Pro 4G | Redmi | public/devices/fleur.webp | missing
xaga | Redmi Note 11T Pro | POCO X4 GT | Redmi | /devices/xaga.webp | verified
mojito | Redmi Note 10 |  | Redmi | /devices/mojito.webp | verified
sweet | Redmi Note 10 Pro |  | Redmi | /devices/sweet.webp | verified
chopin | Redmi Note 10 Pro 5G | POCO X3 GT | Redmi | /devices/chopin.webp | verified
rosemary | Redmi Note 10S | POCO M5s | Redmi | /devices/rosemary.webp | verified
camellian | Redmi Note 10 5G | POCO M3 Pro 5G | Redmi | /devices/camellian.webp | verified
camellia | POCO M3 Pro 5G variant |  | Redmi | /devices/camellia.webp | verified
xig02 | Redmi Note 10 JE |  | Redmi | public/devices/xig02.webp | missing
creek | Redmi 15 4G |  | Redmi | public/devices/creek.webp | missing
spring | Redmi 15 5G | Redmi Note 15R 5G | Redmi | public/devices/spring.webp | missing
dew | Redmi 15C | POCO C85 | Redmi | public/devices/dew.webp | missing
tornado | Redmi 15C 5G |  | Redmi | public/devices/tornado.webp | missing
lake | Redmi 14C | POCO C75, Redmi A3 Pro | Redmi | /devices/lake.webp | verified
flame | Redmi 14C 5G | POCO M7 5G, Redmi 14R 5G | Redmi | /devices/flame.webp | verified
moon | Redmi 13 | POCO M6 4G | Redmi | /devices/moon.webp | verified
breeze | Redmi 13 5G | POCO M6 Plus 5G | Redmi | /devices/breeze.webp | verified
gale | Redmi 13C | POCO C65 | Redmi | /devices/gale.webp | verified
air | Redmi 13C 5G | POCO M6 5G | Redmi | /devices/air.webp | verified
fire | Redmi 12 |  | Redmi | /devices/fire.webp | verified
sky | Redmi 12 5G | POCO M6 Pro 5G | Redmi | /devices/sky.webp | verified
earth | Redmi 12C | POCO C55 | Redmi | /devices/earth.webp | verified
